date,gold_price_eur
2012-07-19,1286.9914315722
2012-07-20,1289.009581221
2012-07-23,1300.4766440229
2012-07-24,1299.8848340908
2012-07-25,1333.1284550557
2012-07-26,1330.2755395026
2012-07-27,1317.4559346448
2012-07-30,1316.3301299179
2012-07-31,1313.6848145137
2012-08-01,1304.4495359602
2012-08-02,1296.7470731576
2012-08-03,1318.5259135507
2012-08-06,1297.7393077872
2012-08-07,1299.1887720789
2012-08-08,1302.094145642
2012-08-09,1306.9240129101
2012-08-10,1317.4639359171
2012-08-13,1311.0513879433
2012-08-14,1297.4333240563
2012-08-15,1301.0817167828
2012-08-16,1315.0206392068
2012-08-17,1307.9099661459
2012-08-20,1313.6741710239
2012-08-21,1327.4990573405
2012-08-22,1312.3761189421
2012-08-23,1332.0069057769
2012-08-24,1329.3278821326
2012-08-27,1337.4517858976
2012-08-28,1333.0333352373
2012-08-29,1320.2050602855
2012-08-30,1319.4930125837
2012-08-31,1346.5007701328
2012-09-04,1345.0090244223
2012-09-05,1348.9203247842
2012-09-06,1351.013041572
2012-09-07,1375.4049743565
2012-09-10,1350.9789319604
2012-09-11,1357.0385115967
2012-09-12,1346.5798129597
2012-09-13,1371.052395272
2012-09-14,1362.0380450972
2012-09-17,1347.6943346829
2012-09-18,1348.8824740108
2012-09-19,1355.9384688034
2012-09-20,1353.7046773133
2012-09-21,1368.5554128558
2012-09-24,1358.7552943329
2012-09-25,1362.8882736353
2012-09-26,1357.0476382953
2012-09-27,1379.9509023047
2012-09-28,1371.5397823769
2012-10-01,1390.0364415687
2012-10-02,1375.437902854
2012-10-03,1375.9857028877
2012-10-04,1388.2745702437
2012-10-05,1366.3204965868
2012-10-08,1362.5800083199
2012-10-09,1358.5678813333
2012-10-10,1371.2405748259
2012-10-11,1375.5957706867
2012-10-12,1359.2855353787
2012-10-15,1341.2335954592
2012-10-16,1345.338135476
2012-10-17,1336.2193362214
2012-10-18,1329.0918506281
2012-10-19,1318.217768943
2012-10-22,1324.7042802379
2012-10-23,1307.0204200686
2012-10-24,1310.7454123127
2012-10-25,1320.4656166542
2012-10-26,1322.3545787411
2012-10-31,1324.9653056608
2012-11-01,1322.085327844
2012-11-02,1292.9073649687
2012-11-05,1311.3589493156
2012-11-06,1338.8833937133
2012-11-07,1337.5979907963
2012-11-08,1352.195994507
2012-11-09,1357.5933898595
2012-11-12,1359.8774953003
2012-11-13,1356.6006083283
2012-11-14,1360.7706870129
2012-11-15,1345.6257896616
2012-11-16,1340.9254228077
2012-11-19,1358.9877230147
2012-11-20,1349.4722861627
2012-11-21,1348.401280168
2012-11-23,1360.2172796746
2012-11-26,1349.3019025454
2012-11-27,1341.4939751958
2012-11-28,1326.6827997074
2012-11-29,1333.3984284293
2012-11-30,1318.7617512064
2012-12-03,1323.0946596875
2012-12-05,1291.9781906201
2012-12-06,1300.8996198217
2012-12-07,1314.4655083325
2012-12-10,1327.2838074759
2012-12-11,1320.2676922113
2012-12-12,1319.1213013236
2012-12-13,1297.6426782391
2012-12-14,1296.6086284884
2012-12-17,1288.9393600896
2012-12-18,1268.1521368086
2012-12-19,1259.5407642037
2012-12-20,1244.6958169287
2012-12-21,1253.3173826502
2012-12-24,1258.2305685383
2012-12-26,1259.2903691331
2012-12-27,1257.091817938
2012-12-28,1248.9530137049
2012-12-31,1266.1321006699
2013-01-02,1278.9218360121
2013-01-03,1269.6687976103
2013-01-04,1264.5871464975
2013-01-07,1259.2353395321
2013-01-08,1265.896828526
2013-01-09,1264.9126512598
2013-01-10,1284.8117644975
2013-01-11,1250.64400164
2013-01-14,1248.9881315444
2013-01-15,1258.3415249998
2013-01-16,1264.3807720389
2013-01-17,1271.8569144473
2013-01-18,1261.2394580144
2013-01-22,1271.6821363332
2013-01-23,1266.5631035067
2013-01-24,1254.462328503
2013-01-25,1238.9541393432
2013-01-28,1227.0887879594
2013-01-29,1235.0625495199
2013-01-30,1245.1418855086
2013-01-31,1223.8787848756
2013-02-01,1226.5082417419
2013-02-04,1227.4421277613
2013-02-05,1237.743266553
2013-02-06,1235.2905134688
2013-02-07,1235.1439159889
2013-02-08,1244.2688280471
2013-02-11,1232.9194796166
2013-02-12,1230.0456601268
2013-02-13,1222.265406427
2013-02-14,1215.8897681096
2013-02-15,1204.8303727829
2013-02-19,1201.4491715458
2013-02-20,1177.678399815
2013-02-21,1189.015844772
2013-02-22,1191.7220172159
2013-02-25,1202.0381696078
2013-02-26,1236.2740488167
2013-02-27,1220.8862884365
2013-02-28,1199.6830293706
2013-03-01,1203.6038525391
2013-03-04,1207.7344234058
2013-03-05,1207.8756063976
2013-03-06,1206.7262048303
2013-03-07,1213.3834907074
2013-03-08,1202.4728280991
2013-03-11,1214.8113780955
2013-03-12,1221.1579840205
2013-03-13,1219.0202217189
2013-03-14,1227.4660855601
2013-03-15,1223.8361583065
2013-03-18,1244.5758326299
2013-03-19,1244.7292283664
2013-03-20,1249.622242068
2013-03-21,1246.9832756844
2013-03-22,1244.6443593299
2013-03-25,1232.0278573632
2013-03-26,1241.0536733556
2013-03-27,1248.9810739316
2013-03-28,1248.0905167846
2013-04-01,1249.4399720133
2013-04-02,1225.7427343118
2013-04-03,1211.1839976583
2013-04-04,1207.6107322954
2013-04-05,1218.5719915168
2013-04-08,1209.9684321077
2013-04-09,1217.4083968547
2013-04-10,1191.3359496247
2013-04-11,1198.2069404564
2013-04-12,1144.5125119382
2013-04-15,1038.6820309955
2013-04-16,1062.3026486153
2013-04-17,1048.8133725104
2013-04-18,1067.900628507
2013-04-19,1068.9393582834
2013-04-22,1088.4149753011
2013-04-23,1078.4241414114
2013-04-24,1095.391720307
2013-04-25,1122.9547936812
2013-04-26,1117.5277358335
2013-04-29,1125.0848955598
2013-04-30,1124.1718856631
2013-05-01,1098.3202489362
2013-05-02,1113.397195807
2013-05-03,1120.7752629845
2013-05-06,1118.6921728615
2013-05-07,1108.6299447094
2013-05-08,1127.0913010926
2013-05-09,1115.9943289042
2013-05-10,1102.3130285779
2013-05-13,1106.4155199371
2013-05-14,1096.9334880812
2013-05-15,1079.4526751413
2013-05-16,1076.7363913468
2013-05-17,1059.4353474978
2013-05-20,1078.4804383187
2013-05-21,1068.8008711812
2013-05-22,1058.590736526
2013-05-23,1083.9364078837
2013-05-24,1072.9532674595
2013-05-28,1066.2649151088
2013-05-29,1083.0296399039
2013-05-30,1090.1437648634
2013-05-31,1067.622864944
2013-06-03,1086.2184099117
2013-06-04,1068.6977294198
2013-06-05,1069.6501494375
2013-06-06,1081.2408833038
2013-06-07,1044.1235641939
2013-06-10,1048.2444638819
2013-06-11,1041.2874604022
2013-06-12,1052.4792579752
2013-06-13,1032.7177923425
2013-06-14,1037.7836813281
2013-06-17,1035.9108877309
2013-06-18,1022.6677679678
2013-06-19,1025.84565101
2013-06-20,967.4340760942
2013-06-21,975.8554454472
2013-06-24,974.2623091797
2013-06-25,970.7346993834
2013-06-26,940.0783871963
2013-06-27,930.888275012
2013-06-28,938.7892666153
2013-07-01,965.0335557056
2013-07-02,951.6649097357
2013-07-03,964.7179967429
2013-07-05,939.6700864498
2013-07-08,962.5798866361
2013-07-09,967.989568197
2013-07-10,975.9158977313
2013-07-11,970.6741826279
2013-07-12,975.5876287534
2013-07-15,983.0057005282
2013-07-16,988.4560058292
2013-07-17,971.7023957891
2013-07-18,979.3404915912
2013-07-19,986.4517197732
2013-07-22,1015.5036658292
2013-07-23,1012.1793904979
2013-07-24,998.0098814327
2013-07-25,1007.5148425177
2013-07-26,995.6894244228
2013-07-29,999.7405486062
2013-07-30,998.2165768499
2013-07-31,989.3790346041
2013-08-01,985.6098345667
2013-08-02,991.9800054047
2013-08-05,980.9489768309
2013-08-06,967.9048404677
2013-08-07,966.4012532075
2013-08-08,982.4613597776
2013-08-09,981.2352123393
2013-08-12,1000.5712023977
2013-08-13,993.9122898647
2013-08-14,1005.6091985754
2013-08-15,1026.5238315085
2013-08-16,1027.1837582418
2013-08-19,1024.9779129885
2013-08-20,1029.7837957783
2013-08-21,1021.2340708442
2013-08-22,1027.6594725035
2013-08-23,1045.0722345393
2013-08-26,1040.5988536015
2013-08-27,1061.7990462494
